"","DATE","Block","Plot","Treatment","Variety","Concentration","Wavelength","Reflectance","Yield","2018-07-13_Incidence","2018-07-13_Severity","2018-07-22_Incidence","2018-07-22_Severity","2018-07-28_Incidence","2018-07-28_Severity","2018-08-06_Incidence","2018-08-06_Severity","2018-08-13_Incidence","2018-08-13_Severity","2018-08-18_Incidence","2018-08-18_Severity","2018-08-25_Incidence","2018-08-25_Severity","2018-09-01_Incidence","2018-09-01_Severity"
"1",2018-06-29,1,101,"T8","Syngenta NK Soybean S24-K2",4,460,3.32,53.80610166,0,0,0,0,0.414078675,0.5,0.414078675,0.85,21.5320911,8,42,30,77,60,88,85
"2",2018-06-29,1,102,"T6","Syngenta NK Soybean S24-K2",2,460,3.2,55.94978067,0,0,0,0,0,0,0.865800866,0,19.48051948,8,25,15,75,60,85,70
"3",2018-06-29,1,103,"T4","Pioneer P20T79R2",5,460,3.545,47.09847393,0,0,0,0,0.892857143,0.5,1.339285714,1,23.21428571,20,50,40,80,70,90,80
"4",2018-06-29,1,104,"T7","Syngenta NK Soybean S24-K2",3,460,2.92,45.88508259,0,0,0,0,0,0,0.907029478,0.85,18.14058957,30,45,50,73,70,85,80
"5",2018-06-29,1,105,"T9","Syngenta NK Soybean S24-K2",5,460,3.77,53.18555167,0,0,0,0,0,0,0,0,16.38095238,10,25,20,63,40,70,50
"6",2018-06-29,1,106,"T2","Pioneer P20T79R2",3,460,3.46,45.56499408,0.865800866,0.5,3.03030303,2,6.493506494,5,8.225108225,8,40,45,65,70,92,85,98,95
"7",2018-06-29,1,107,"T5","Pioneer P20T79R2",0,460,3.585,48.80316199,0,0,0,0,0.344234079,0.5,0.688468158,0.85,20.65404475,25,40,45,82,65,90,80
"8",2018-06-29,1,108,"T3","Pioneer P20T79R2",4,460,3.44,55.72771708,0,0,0.366300366,1,1.098901099,1,2.197802198,2,17.21611722,15,45,25,78,35,90,70
"9",2018-06-29,1,109,"T10","Syngenta NK Soybean S24-K2",0,460,3.81,57.32389568,0,0,0.772200772,0,0.772200772,0.5,0.386100386,0.85,8.494208494,2,30,10,75,30,80,65
"10",2018-06-29,1,110,"T1","Pioneer P20T79R2",2,460,3.73,56.41190616,0,0,0,0,0,0,0,0,14.06593407,5,40,15,60,40,70,50
"11",2018-06-29,2,201,"T9","Syngenta NK Soybean S24-K2",5,460,3.275,53.48158457,0,0,0,0,0.386100386,0,0.386100386,0.85,11.1969112,2,27.41312741,7,70,45,75,85
"12",2018-06-29,2,202,"T2","Pioneer P20T79R2",3,460,3.205,55.26662769,0,0,0,0,0.361663653,0.5,0.361663653,0.85,8.679927667,5,20.97649186,10,65,65,75,75
"13",2018-06-29,2,203,"T1","Pioneer P20T79R2",2,460,2.675,52.50317557,0.772200772,0.5,1.544401544,2,2.316602317,1,4.247104247,3,17.37451737,20,50,40,90,55,96,96
"14",2018-06-29,2,204,"T5","Pioneer P20T79R2",0,460,3.14,51.33591062,0,0,0,0,0,0,0,0,13.85281385,12,38,25,63,50,70,65
"15",2018-06-29,2,205,"T8","Syngenta NK Soybean S24-K2",4,460,3.425,47.52276788,0,0,0,0,1.207243461,0,2.012072435,1,24.14486922,12,45,35,80,60,92,88
"16",2018-06-29,2,206,"T6","Syngenta NK Soybean S24-K2",2,460,4.245,50.70979105,0.408163265,0.5,1.224489796,1,3.673469388,0.5,4.081632653,2,17.55102041,5,30,12,90,80,97,99
"17",2018-06-29,2,207,"T7","Syngenta NK Soybean S24-K2",3,460,3.555,56.22523189,0,0,0,0,0.361663653,0.5,0.723327306,1,11.21157324,8,22.42314647,13,60,48,65,55
"18",2018-06-29,2,208,"T4","Pioneer P20T79R2",5,460,3.66,48.16864132,0,0,0,0,0.816326531,0.5,0.816326531,1,21.2244898,20,40,40,75,50,80,75
"19",2018-06-29,2,209,"T3","Pioneer P20T79R2",4,460,5.17,56.65423805,0,0,0.751879699,0,0.37593985,0.5,1,1,10.90225564,2,33.83458647,10,67,25,80,52
"20",2018-06-29,2,210,"T10","Syngenta NK Soybean S24-K2",0,460,4.08,53.45098394,0,0,0,0,0,0,0,0,27.56892231,18,45,35,68,50,80,70
"21",2018-06-29,3,301,"T5","Pioneer P20T79R2",0,460,3.605,55.04236832,0,0,0,0,0,0,0.460829493,0,12.90322581,6,25,10,62,25,70,40
"22",2018-06-29,3,302,"T6","Syngenta NK Soybean S24-K2",2,460,3.77,52.49310207,0,0,0.680272109,0,0.680272109,0.5,1.020408163,1,10.20408163,6,27.21088435,12,70,45,88,80
"23",2018-06-29,3,303,"T3","Pioneer P20T79R2",4,460,3.64,55.8859003,0,0,0,0,0,0,0,0,8.225108225,2,29.004329,8,60,47,70,55
"24",2018-06-29,3,304,"T8","Syngenta NK Soybean S24-K2",4,460,3.305,57.29941882,0,0,0,0,0.43956044,0.5,0.879120879,1,15.82417582,5,20,13,80,65,85,70
"25",2018-06-29,3,305,"T9","Syngenta NK Soybean S24-K2",5,460,3.7,51.67876001,0,0,0,2,0,4,0,0,16.26984127,8,36.9047619,20,70,55,80,72
"26",2018-06-29,3,306,"T4","Pioneer P20T79R2",5,460,3.44,48.56957224,0,0,0.879120879,0,2.637362637,1,2.637362637,2,16.26373626,8,39.56043956,15,64,50,75,80
"27",2018-06-29,3,307,"T1","Pioneer P20T79R2",2,460,3.32,47.63853782,0,0,0.396825397,0,1.587301587,0.5,2.380952381,1,17.85714286,20,47,40,72,70,80,85
"28",2018-06-29,3,308,"T10","Syngenta NK Soybean S24-K2",0,460,3.305,59.89791831,0,0,0,0,0,0,0,0,4.69667319,2,13.69863014,5,65,50,70,70
"29",2018-06-29,3,309,"T7","Syngenta NK Soybean S24-K2",3,460,3.865,53.08278068,0,0,0.804828974,0,1.609657948,0.5,2.816901408,2,14.08450704,8,25,15,90,60,93,93
"30",2018-06-29,3,310,"T2","Pioneer P20T79R2",3,460,3.845,55.40802073,0,0,0.357142857,1,1.428571429,0.5,1.428571429,1,13.57142857,3,28.57142857,8,75,50,93,90
"31",2018-06-29,4,401,"T3","Pioneer P20T79R2",4,460,3.275,49.93386705,0,0,0.761904762,0,1.142857143,0.5,1.142857143,1,15.61904762,20,38,45,75,60,85,82
"32",2018-06-29,4,402,"T6","Syngenta NK Soybean S24-K2",2,460,3.26,51.32463795,0,0,0,0,0.37593985,0,0.37593985,0.85,4.135338346,1,10.52631579,3,65,20,70,73
"33",2018-06-29,4,403,"T5","Pioneer P20T79R2",0,460,2.99,50.66838259,0,0,0.332225914,0,1.328903654,0.5,1.328903654,1,11.96013289,3,50,20,78,40,88,84
"34",2018-06-29,4,404,"T2","Pioneer P20T79R2",3,460,3.195,52.8966318,0,0,0,0,0.391389432,0.5,0.391389432,0.85,7.436399217,5,29.35420744,10,69,50,80,80
"35",2018-06-29,4,405,"T1","Pioneer P20T79R2",2,460,3.905,47.61728798,0,0,0.723327306,0,2.169981917,0.5,2.169981917,2,17.35985533,4,32.54972875,12,80,60,90,90
"36",2018-06-29,4,406,"T4","Pioneer P20T79R2",5,460,3.925,53.90836061,0.782778865,0.5,1.956947162,2,2.739726027,3,4.305283757,5,16.8297456,12,60,30,90,50,95,80
"37",2018-06-29,4,407,"T10","Syngenta NK Soybean S24-K2",0,460,3.23,60.52445368,0,0,0,0,1.113172542,0.5,0.742115028,0.85,3.710575139,1,12.61595547,3,45,10,60,50
"38",2018-06-29,4,408,"T8","Syngenta NK Soybean S24-K2",4,460,3.27,54.07048582,0,0,0,0,2.232142857,1,2.232142857,2,4.017857143,3,15.17857143,5,60,40,75,60
"39",2018-06-29,4,409,"T7","Syngenta NK Soybean S24-K2",3,460,3.785,56.8736023,0,0,0,0,0,0,0.852878465,0.85,7.249466951,2,16.20469083,5,70,55,77,60
