"","DATE","Block","Plot","Treatment","Variety","Concentration","Wavelength","Reflectance"
"1",2018-06-29,1,101,"T8","Syngenta NK Soybean S24-K2",4,460,3.32
"2",2018-06-29,1,102,"T6","Syngenta NK Soybean S24-K2",2,460,3.2
"3",2018-06-29,1,103,"T4","Pioneer P20T79R2",5,460,3.545
"4",2018-06-29,1,104,"T7","Syngenta NK Soybean S24-K2",3,460,2.92
"5",2018-06-29,1,105,"T9","Syngenta NK Soybean S24-K2",5,460,3.77
"6",2018-06-29,1,106,"T2","Pioneer P20T79R2",3,460,3.46
"7",2018-06-29,1,107,"T5","Pioneer P20T79R2",0,460,3.585
"8",2018-06-29,1,108,"T3","Pioneer P20T79R2",4,460,3.44
"9",2018-06-29,1,109,"T10","Syngenta NK Soybean S24-K2",0,460,3.81
"10",2018-06-29,1,110,"T1","Pioneer P20T79R2",2,460,3.73
"11",2018-06-29,2,201,"T9","Syngenta NK Soybean S24-K2",5,460,3.275
"12",2018-06-29,2,202,"T2","Pioneer P20T79R2",3,460,3.205
"13",2018-06-29,2,203,"T1","Pioneer P20T79R2",2,460,2.675
"14",2018-06-29,2,204,"T5","Pioneer P20T79R2",0,460,3.14
"15",2018-06-29,2,205,"T8","Syngenta NK Soybean S24-K2",4,460,3.425
"16",2018-06-29,2,206,"T6","Syngenta NK Soybean S24-K2",2,460,4.245
"17",2018-06-29,2,207,"T7","Syngenta NK Soybean S24-K2",3,460,3.555
"18",2018-06-29,2,208,"T4","Pioneer P20T79R2",5,460,3.66
"19",2018-06-29,2,209,"T3","Pioneer P20T79R2",4,460,5.17
"20",2018-06-29,2,210,"T10","Syngenta NK Soybean S24-K2",0,460,4.08
"21",2018-06-29,3,301,"T5","Pioneer P20T79R2",0,460,3.605
"22",2018-06-29,3,302,"T6","Syngenta NK Soybean S24-K2",2,460,3.77
"23",2018-06-29,3,303,"T3","Pioneer P20T79R2",4,460,3.64
"24",2018-06-29,3,304,"T8","Syngenta NK Soybean S24-K2",4,460,3.305
"25",2018-06-29,3,305,"T9","Syngenta NK Soybean S24-K2",5,460,3.7
"26",2018-06-29,3,306,"T4","Pioneer P20T79R2",5,460,3.44
"27",2018-06-29,3,307,"T1","Pioneer P20T79R2",2,460,3.32
"28",2018-06-29,3,308,"T10","Syngenta NK Soybean S24-K2",0,460,3.305
"29",2018-06-29,3,309,"T7","Syngenta NK Soybean S24-K2",3,460,3.865
"30",2018-06-29,3,310,"T2","Pioneer P20T79R2",3,460,3.845
"31",2018-06-29,4,401,"T3","Pioneer P20T79R2",4,460,3.275
"32",2018-06-29,4,402,"T6","Syngenta NK Soybean S24-K2",2,460,3.26
"33",2018-06-29,4,403,"T5","Pioneer P20T79R2",0,460,2.99
"34",2018-06-29,4,404,"T2","Pioneer P20T79R2",3,460,3.195
"35",2018-06-29,4,405,"T1","Pioneer P20T79R2",2,460,3.905
"36",2018-06-29,4,406,"T4","Pioneer P20T79R2",5,460,3.925
"37",2018-06-29,4,407,"T10","Syngenta NK Soybean S24-K2",0,460,3.23
"38",2018-06-29,4,408,"T8","Syngenta NK Soybean S24-K2",4,460,3.27
"39",2018-06-29,4,409,"T7","Syngenta NK Soybean S24-K2",3,460,3.785
"40",2018-06-29,4,410,"T9","Syngenta NK Soybean S24-K2",5,460,4.7
"41",2018-06-29,5,501,"T10","Syngenta NK Soybean S24-K2",0,460,3.49
"42",2018-06-29,5,502,"T2","Pioneer P20T79R2",3,460,3.83
"43",2018-06-29,5,503,"T5","Pioneer P20T79R2",0,460,3.385
"44",2018-06-29,5,504,"T8","Syngenta NK Soybean S24-K2",4,460,3.33
"45",2018-06-29,5,505,"T7","Syngenta NK Soybean S24-K2",3,460,3.71
"46",2018-06-29,5,506,"T9","Syngenta NK Soybean S24-K2",5,460,4.34
"47",2018-06-29,5,507,"T6","Syngenta NK Soybean S24-K2",2,460,3.69
"48",2018-06-29,5,508,"T4","Pioneer P20T79R2",5,460,3.595
"49",2018-06-29,5,509,"T3","Pioneer P20T79R2",4,460,4.695
"50",2018-06-29,5,510,"T1","Pioneer P20T79R2",2,460,4.015
"51",2018-06-29,6,601,"T3","Pioneer P20T79R2",4,460,3.905
"52",2018-06-29,6,602,"T6","Syngenta NK Soybean S24-K2",2,460,3.615
"53",2018-06-29,6,603,"T1","Pioneer P20T79R2",2,460,3.58
"54",2018-06-29,6,604,"T5","Pioneer P20T79R2",0,460,3.865
"55",2018-06-29,6,605,"T8","Syngenta NK Soybean S24-K2",4,460,3.76
"56",2018-06-29,6,606,"T7","Syngenta NK Soybean S24-K2",3,460,4.04
"57",2018-06-29,6,607,"T4","Pioneer P20T79R2",5,460,4.05
"58",2018-06-29,6,608,"T9","Syngenta NK Soybean S24-K2",5,460,4.17
"59",2018-06-29,6,609,"T2","Pioneer P20T79R2",3,460,4.185
"60",2018-06-29,6,610,"T10","Syngenta NK Soybean S24-K2",0,460,4.64
"61",2018-07-21,1,101,"T8","Syngenta NK Soybean S24-K2",4,460,2.075
"62",2018-07-21,1,102,"T6","Syngenta NK Soybean S24-K2",2,460,2
"63",2018-07-21,1,103,"T4","Pioneer P20T79R2",5,460,2.11
"64",2018-07-21,1,104,"T7","Syngenta NK Soybean S24-K2",3,460,1.845
"65",2018-07-21,1,105,"T9","Syngenta NK Soybean S24-K2",5,460,2.115
"66",2018-07-21,1,106,"T2","Pioneer P20T79R2",3,460,2.215
"67",2018-07-21,1,107,"T5","Pioneer P20T79R2",0,460,2.24
"68",2018-07-21,1,108,"T3","Pioneer P20T79R2",4,460,2.285
"69",2018-07-21,1,109,"T10","Syngenta NK Soybean S24-K2",0,460,2.22
"70",2018-07-21,1,110,"T1","Pioneer P20T79R2",2,460,2.3
"71",2018-07-21,2,201,"T9","Syngenta NK Soybean S24-K2",5,460,1.84
"72",2018-07-21,2,202,"T2","Pioneer P20T79R2",3,460,2.035
"73",2018-07-21,2,203,"T1","Pioneer P20T79R2",2,460,2.005
"74",2018-07-21,2,204,"T5","Pioneer P20T79R2",0,460,2.035
"75",2018-07-21,2,205,"T8","Syngenta NK Soybean S24-K2",4,460,1.92
"76",2018-07-21,2,206,"T6","Syngenta NK Soybean S24-K2",2,460,2.035
"77",2018-07-21,2,207,"T7","Syngenta NK Soybean S24-K2",3,460,2.06
"78",2018-07-21,2,208,"T4","Pioneer P20T79R2",5,460,2.355
"79",2018-07-21,2,209,"T3","Pioneer P20T79R2",4,460,2.63
"80",2018-07-21,2,210,"T10","Syngenta NK Soybean S24-K2",0,460,2.095
"81",2018-07-21,3,301,"T5","Pioneer P20T79R2",0,460,2.16
"82",2018-07-21,3,302,"T6","Syngenta NK Soybean S24-K2",2,460,2.1
"83",2018-07-21,3,303,"T3","Pioneer P20T79R2",4,460,2.195
"84",2018-07-21,3,304,"T8","Syngenta NK Soybean S24-K2",4,460,2.005
"85",2018-07-21,3,305,"T9","Syngenta NK Soybean S24-K2",5,460,2.06
"86",2018-07-21,3,306,"T4","Pioneer P20T79R2",5,460,2.27
"87",2018-07-21,3,307,"T1","Pioneer P20T79R2",2,460,2.255
"88",2018-07-21,3,308,"T10","Syngenta NK Soybean S24-K2",0,460,2.32
"89",2018-07-21,3,309,"T7","Syngenta NK Soybean S24-K2",3,460,2.265
"90",2018-07-21,3,310,"T2","Pioneer P20T79R2",3,460,2.665
"91",2018-07-21,4,401,"T3","Pioneer P20T79R2",4,460,2.27
"92",2018-07-21,4,402,"T6","Syngenta NK Soybean S24-K2",2,460,1.955
"93",2018-07-21,4,403,"T5","Pioneer P20T79R2",0,460,2.185
"94",2018-07-21,4,404,"T2","Pioneer P20T79R2",3,460,2.405
"95",2018-07-21,4,405,"T1","Pioneer P20T79R2",2,460,2.32
"96",2018-07-21,4,406,"T4","Pioneer P20T79R2",5,460,2.5
"97",2018-07-21,4,407,"T10","Syngenta NK Soybean S24-K2",0,460,2.22
"98",2018-07-21,4,408,"T8","Syngenta NK Soybean S24-K2",4,460,2.1
"99",2018-07-21,4,409,"T7","Syngenta NK Soybean S24-K2",3,460,2.215
"100",2018-07-21,4,410,"T9","Syngenta NK Soybean S24-K2",5,460,2.345
"101",2018-07-21,5,501,"T10","Syngenta NK Soybean S24-K2",0,460,2.01
"102",2018-07-21,5,502,"T2","Pioneer P20T79R2",3,460,2.325
"103",2018-07-21,5,503,"T5","Pioneer P20T79R2",0,460,2.33
"104",2018-07-21,5,504,"T8","Syngenta NK Soybean S24-K2",4,460,1.82
"105",2018-07-21,5,505,"T7","Syngenta NK Soybean S24-K2",3,460,2.365
"106",2018-07-21,5,506,"T9","Syngenta NK Soybean S24-K2",5,460,2.085
"107",2018-07-21,5,507,"T6","Syngenta NK Soybean S24-K2",2,460,2.085
"108",2018-07-21,5,508,"T4","Pioneer P20T79R2",5,460,2.475
"109",2018-07-21,5,509,"T3","Pioneer P20T79R2",4,460,2.775
"110",2018-07-21,5,510,"T1","Pioneer P20T79R2",2,460,2.535
"111",2018-07-21,6,601,"T3","Pioneer P20T79R2",4,460,2.335
"112",2018-07-21,6,602,"T6","Syngenta NK Soybean S24-K2",2,460,2.02
"113",2018-07-21,6,603,"T1","Pioneer P20T79R2",2,460,2.25
"114",2018-07-21,6,604,"T5","Pioneer P20T79R2",0,460,2.285
"115",2018-07-21,6,605,"T8","Syngenta NK Soybean S24-K2",4,460,2.26
"116",2018-07-21,6,606,"T7","Syngenta NK Soybean S24-K2",3,460,2.205
"117",2018-07-21,6,607,"T4","Pioneer P20T79R2",5,460,2.52
"118",2018-07-21,6,608,"T9","Syngenta NK Soybean S24-K2",5,460,2
"119",2018-07-21,6,609,"T2","Pioneer P20T79R2",3,460,2.42
"120",2018-07-21,6,610,"T10","Syngenta NK Soybean S24-K2",0,460,2.115
"121",2018-07-29,1,101,"T8","Syngenta NK Soybean S24-K2",4,460,1.415
"122",2018-07-29,1,102,"T6","Syngenta NK Soybean S24-K2",2,460,1.365
"123",2018-07-29,1,103,"T4","Pioneer P20T79R2",5,460,1.32
"124",2018-07-29,1,104,"T7","Syngenta NK Soybean S24-K2",3,460,1.35
"125",2018-07-29,1,105,"T9","Syngenta NK Soybean S24-K2",5,460,1.48
"126",2018-07-29,1,106,"T2","Pioneer P20T79R2",3,460,1.42
"127",2018-07-29,1,107,"T5","Pioneer P20T79R2",0,460,1.41
"128",2018-07-29,1,108,"T3","Pioneer P20T79R2",4,460,1.445
"129",2018-07-29,1,109,"T10","Syngenta NK Soybean S24-K2",0,460,1.465
"130",2018-07-29,1,110,"T1","Pioneer P20T79R2",2,460,1.485
"131",2018-07-29,2,201,"T9","Syngenta NK Soybean S24-K2",5,460,1.265
"132",2018-07-29,2,202,"T2","Pioneer P20T79R2",3,460,1.285
"133",2018-07-29,2,203,"T1","Pioneer P20T79R2",2,460,1.29
"134",2018-07-29,2,204,"T5","Pioneer P20T79R2",0,460,1.31
"135",2018-07-29,2,205,"T8","Syngenta NK Soybean S24-K2",4,460,1.46
"136",2018-07-29,2,206,"T6","Syngenta NK Soybean S24-K2",2,460,1.42
"137",2018-07-29,2,207,"T7","Syngenta NK Soybean S24-K2",3,460,1.45
"138",2018-07-29,2,208,"T4","Pioneer P20T79R2",5,460,1.59
"139",2018-07-29,2,209,"T3","Pioneer P20T79R2",4,460,1.54
"140",2018-07-29,2,210,"T10","Syngenta NK Soybean S24-K2",0,460,1.455
"141",2018-07-29,3,301,"T5","Pioneer P20T79R2",0,460,1.295
"142",2018-07-29,3,302,"T6","Syngenta NK Soybean S24-K2",2,460,1.345
"143",2018-07-29,3,303,"T3","Pioneer P20T79R2",4,460,1.345
"144",2018-07-29,3,304,"T8","Syngenta NK Soybean S24-K2",4,460,1.315
