"","DATE","Block","Plot","Rotation","Quadrat","Wavelength","Reflectance","ID","2017-08-17_Incidence","2017-08-17_Severity","2017-08-24_Incidence","2017-08-24_Severity","2017-08-31_Incidence","2017-08-31_Severity","2017-09-09_Incidence","2017-09-09_Severity","2017-09-13_Incidence","2017-09-13_Severity"
"1",2017-06-21,"1","13","S2",1311,460,6.06,"SDS_2017",0,0,13.75,5,25,15,30,30,30,35
"2",2017-06-21,"1","13","S2",1312,460,6.22,"SDS_2017",0,0,10,5,11.25,10,18.75,30,18.75,40
"3",2017-06-21,"1","13","S2",1313,460,6.05,"SDS_2017",0,0,13.125,5,18.125,10,25,30,25,30
"4",2017-06-21,"1","13","S2",1314,460,6.63,"SDS_2017",0,0,3.125,5,6.25,8,9.375,15,9.375,15
"5",2017-06-21,"1","13","S2",1315,460,7.04,"SDS_2017",0,0,13.75,5,15.625,10,18.75,25,18.75,25
"6",2017-06-21,"1","13","S2",1316,460,7.16,"SDS_2017",0,0,16.875,5,25,15,30,30,30,30
"7",2017-06-21,"1","13","S2",1317,460,7.29,"SDS_2017",0,0,14.375,5,16.875,10,25,30,25,30
"8",2017-06-21,"1","13","S2",1318,460,6.86,"SDS_2017",0,0,8.125,5,9.375,10,20,20,25,20
"9",2017-06-21,"1","13","S2",1319,460,6.74,"SDS_2017",0,0,5,5,5,8,6.25,15,6.25,20
"10",2017-06-21,"1","13","S2",1320,460,7.23,"SDS_2017",0,0,0.625,5,0.625,10,1.875,15,3.125,20
"11",2017-06-21,"1","16","S3",1601,460,6.6,"SDS_2017",0,0,1.25,5,2.5,10,3.125,15,3.125,20
"12",2017-06-21,"1","16","S3",1602,460,5.23,"SDS_2017",0,0,1.875,5,3.125,10,6.25,15,6.25,15
"13",2017-06-21,"1","16","S3",1603,460,5.41,"SDS_2017",0.625,5,3.125,8,6.25,10,9.375,15,9.375,15
"14",2017-06-21,"1","16","S3",1604,460,5.23,"SDS_2017",0,0,2.5,5,3.75,10,6.25,15,6.25,15
"15",2017-06-21,"1","16","S3",1605,460,5.4,"SDS_2017",0,0,0,0,0,0,0.625,10,0.625,10
"16",2017-06-21,"1","16","S3",1606,460,5.4,"SDS_2017",0,0,0,0,0,0,0,0,0,0
