DATE,Block,Plot,Rotation,Quadrat,Reading,W460,W510,W560,W610,W660,W710,W760,W810,
6/29/2018,2,29,S4,2901,29013,4.17,4.96,5.78,6.16,6.55,8.47,10.99,12.42,
6/29/2018,2,29,S4,2901,29014,4.47,5.28,5.93,7.04,7.17,9.01,11.57,12.44,
6/29/2018,2,29,S4,2902,29023,5.41,6.38,7.02,8.5,8.59,10.68,13.42,14.21,
6/29/2018,2,29,S4,2902,29024,5.45,6.52,7.42,8,8.74,10.65,13.55,15.11,
6/29/2018,2,29,S4,2903,29033,5.08,6.02,6.91,7.61,7.9,9.97,13.09,14.42,
6/29/2018,2,29,S4,2903,29034,5.33,6.32,7.13,7.88,8.36,10.23,13.97,15.32,
6/29/2018,2,29,S4,2904,29043,4.72,5.61,6.36,7.37,6.98,9.57,13.34,14.06,
6/29/2018,2,29,S4,2904,29044,4.93,5.92,6.87,7.43,7.52,10.28,14.28,15.39,
6/29/2018,2,29,S4,2905,29053,4.51,5.34,6.12,7.07,6.95,9,11.74,12.78,
6/29/2018,2,29,S4,2905,29054,4.7,5.56,6.36,6.95,7.38,9.49,13.13,14.41,
6/29/2018,2,29,S4,2906,29063,3.93,4.79,5.61,6.38,6.39,8.8,13.12,13.72,
6/29/2018,2,29,S4,2906,29064,4.33,5.26,6.23,6.64,7.05,9.57,14.26,15.1,
6/29/2018,2,29,S4,2907,29073,3.47,4.17,5.06,5.46,5.33,8.04,12.31,13.19,
6/29/2018,2,29,S4,2907,29074,3.69,4.38,5.19,5.65,5.98,8.02,10.74,12.04,
6/29/2018,2,29,S4,2908,29083,3.41,4,4.57,5.19,5.17,6.92,9.63,10.48,
6/29/2018,2,29,S4,2908,29084,3.7,4.34,4.84,5.51,5.66,7.25,9.44,10.49,
6/29/2018,2,29,S4,2909,29093,3.63,4.27,4.84,5.57,5.61,7.37,9.88,10.97,
6/29/2018,2,29,S4,2909,29094,3.69,4.41,5.03,5.36,5.67,7.45,10.31,11.54,
6/29/2018,2,29,S4,2910,29103,4.07,4.9,5.75,6.39,6.47,8.88,12.83,14.33,
6/29/2018,2,29,S4,2910,29104,4.33,5.2,6.03,6.71,6.91,9.33,13.36,14.57,
6/29/2018,2,27,S2,2710,27103,3.65,4.37,5.18,5.64,5.96,7.95,10.79,12.45,
6/29/2018,2,27,S2,2710,27104,3.87,4.56,5.22,6.07,6.3,8.4,11.71,12.76,
6/29/2018,2,27,S2,2709,27093,3.78,4.59,5.48,6.03,6.46,8.66,12.46,14.24,
6/29/2018,2,27,S2,2709,27094,4.04,4.84,5.56,6.24,6.56,8.83,12.64,13.71,
6/29/2018,2,27,S2,2708,27083,4.18,4.96,5.72,6.52,6.87,8.79,11.67,13.12,
6/29/2018,2,27,S2,2708,27084,4.2,4.91,5.63,6.09,6.7,8.25,10.84,12.46,
6/29/2018,2,27,S2,2707,27073,4.21,4.97,5.74,6.67,6.73,9.04,11.86,13.19,
6/29/2018,2,27,S2,2707,27074,4.53,5.32,6.09,6.64,7.2,9.17,12.16,13.65,
6/29/2018,2,27,S2,2706,26063,4.15,4.87,5.54,6.63,6.79,8.79,11.51,12.65,
6/29/2018,2,27,S2,2706,27064,4.46,5.3,6.16,6.78,7.27,9.61,13.41,14.66,
6/29/2018,2,27,S2,2705,27053,3.77,4.49,5.39,5.89,6.07,8.4,11.79,13.2,
6/29/2018,2,27,S2,2705,27054,3.87,4.56,5.36,5.79,6.01,8.12,11.07,12.2,
