"","DATE","Block","Plot","Rotation","Quadrat","Wavelength","Reflectance"
"1",2016-06-23,"1","12","S4","1201",460,7.15
"2",2016-06-23,"1","12","S4","1202",460,6.055
"3",2016-06-23,"1","12","S4","1203",460,5.895
"4",2016-06-23,"1","12","S4","1204",460,5.92
"5",2016-06-23,"1","12","S4","1205",460,6.1
"6",2016-06-23,"1","12","S4","1206",460,6.255
"7",2016-06-23,"1","12","S4","1207",460,5.63
"8",2016-06-23,"1","12","S4","1208",460,5.63
"9",2016-06-23,"1","12","S4","1209",460,5.755
"10",2016-06-23,"1","12","S4","1210",460,5.475
"11",2016-06-23,"1","12","S4","1211",460,4.87
"12",2016-06-23,"1","12","S4","1212",460,4.955
"13",2016-06-23,"1","12","S4","1213",460,4.705
"14",2016-06-23,"1","12","S4","1214",460,4.79
"15",2016-06-23,"1","12","S4","1215",460,4.605
"16",2016-06-23,"1","12","S4","1216",460,4.595
"17",2016-06-23,"1","12","S4","1217",460,4.78
"18",2016-06-23,"1","12","S4","1218",460,4.58
"19",2016-06-23,"1","12","S4","1219",460,4.585
"20",2016-06-23,"1","12","S4","1220",460,4.445
"21",2016-06-23,"1","15","S3","1501",460,6.34
"22",2016-06-23,"1","15","S3","1502",460,6.3
"23",2016-06-23,"1","15","S3","1503",460,6.025
"24",2016-06-23,"1","15","S3","1504",460,5.875
"25",2016-06-23,"1","15","S3","1505",460,5.405
"26",2016-06-23,"1","15","S3","1506",460,5.515
"27",2016-06-23,"1","15","S3","1507",460,5.635
"28",2016-06-23,"1","15","S3","1508",460,5.68
"29",2016-06-23,"1","15","S3","1509",460,5.48
"30",2016-06-23,"1","15","S3","1510",460,5.4
"31",2016-06-23,"1","15","S3","1511",460,5.415
"32",2016-06-23,"1","15","S3","1512",460,4.4
"33",2016-06-23,"1","15","S3","1513",460,4.79
"34",2016-06-23,"1","15","S3","1514",460,4.38
"35",2016-06-23,"1","15","S3","1515",460,4.72
"36",2016-06-23,"1","15","S3","1516",460,4.585
"37",2016-06-23,"1","15","S3","1517",460,4.81
"38",2016-06-23,"1","15","S3","1518",460,4.855
"39",2016-06-23,"1","15","S3","1519",460,4.905
"40",2016-06-23,"1","15","S3","1520",460,4.73
"41",2016-06-23,"1","19","S2","1901",460,4.985
"42",2016-06-23,"1","19","S2","1902",460,5.175
"43",2016-06-23,"1","19","S2","1903",460,4.995
"44",2016-06-23,"1","19","S2","1904",460,5.02
"45",2016-06-23,"1","19","S2","1905",460,5.52
"46",2016-06-23,"1","19","S2","1906",460,4.94
"47",2016-06-23,"1","19","S2","1907",460,4.725
"48",2016-06-23,"1","19","S2","1908",460,4.795
"49",2016-06-23,"1","19","S2","1909",460,4.595
"50",2016-06-23,"1","19","S2","1910",460,4.4
"51",2016-06-23,"1","19","S2","1911",460,5.71
"52",2016-06-23,"1","19","S2","1912",460,6.455
"53",2016-06-23,"1","19","S2","1913",460,6.14
"54",2016-06-23,"1","19","S2","1914",460,6.285
"55",2016-06-23,"1","19","S2","1915",460,6.33
"56",2016-06-23,"1","19","S2","1916",460,6.305
"57",2016-06-23,"1","19","S2","1917",460,6.225
"58",2016-06-23,"1","19","S2","1918",460,5.765
"59",2016-06-23,"1","19","S2","1919",460,6.025
"60",2016-06-23,"1","19","S2","1920",460,5.77
"61",2016-06-23,"2","21","S4","2101",460,4.87
"62",2016-06-23,"2","21","S4","2102",460,4.205
"63",2016-06-23,"2","21","S4","2103",460,4.515
"64",2016-06-23,"2","21","S4","2104",460,4.42
"65",2016-06-23,"2","21","S4","2105",460,4.755
"66",2016-06-23,"2","21","S4","2106",460,4.99
"67",2016-06-23,"2","21","S4","2107",460,4.37
"68",2016-06-23,"2","21","S4","2108",460,4.37
"69",2016-06-23,"2","21","S4","2109",460,4.225
"70",2016-06-23,"2","21","S4","2110",460,4.255
"71",2016-06-23,"2","21","S4","2111",460,6.405
"72",2016-06-23,"2","21","S4","2112",460,6.255
"73",2016-06-23,"2","21","S4","2113",460,5.925
"74",2016-06-23,"2","21","S4","2114",460,5.74
"75",2016-06-23,"2","21","S4","2115",460,5.42
"76",2016-06-23,"2","21","S4","2116",460,5.515
"77",2016-06-23,"2","21","S4","2117",460,5.78
"78",2016-06-23,"2","21","S4","2118",460,6.275
"79",2016-06-23,"2","21","S4","2119",460,6.395
"80",2016-06-23,"2","21","S4","2120",460,5.26
"81",2016-06-23,"2","26","S3","2601",460,5.88
"82",2016-06-23,"2","26","S3","2602",460,5.135
"83",2016-06-23,"2","26","S3","2603",460,5.16
"84",2016-06-23,"2","26","S3","2604",460,5.69
"85",2016-06-23,"2","26","S3","2605",460,5.2
"86",2016-06-23,"2","26","S3","2606",460,5.145
"87",2016-06-23,"2","26","S3","2607",460,5.04
"88",2016-06-23,"2","26","S3","2608",460,4.69
"89",2016-06-23,"2","26","S3","2609",460,4.74
"90",2016-06-23,"2","26","S3","2610",460,4.405
"91",2016-06-23,"2","26","S3","2611",460,4.88
"92",2016-06-23,"2","26","S3","2612",460,4.445
"93",2016-06-23,"2","26","S3","2613",460,4.74
"94",2016-06-23,"2","26","S3","2614",460,4.755
"95",2016-06-23,"2","26","S3","2615",460,4.365
"96",2016-06-23,"2","26","S3","2616",460,4.245
"97",2016-06-23,"2","26","S3","2617",460,4.625
"98",2016-06-23,"2","26","S3","2618",460,4.215
"99",2016-06-23,"2","26","S3","2619",460,4.215
"100",2016-06-23,"2","26","S3","2620",460,4.385
"101",2016-06-23,"2","27","S2","2701",460,5.365
"102",2016-06-23,"2","27","S2","2702",460,4.985
"103",2016-06-23,"2","27","S2","2703",460,5.04
"104",2016-06-23,"2","27","S2","2704",460,5.465
"105",2016-06-23,"2","27","S2","2705",460,5.44
"106",2016-06-23,"2","27","S2","2706",460,5.87
"107",2016-06-23,"2","27","S2","2707",460,5.585
"108",2016-06-23,"2","27","S2","2708",460,5.915
"109",2016-06-23,"2","27","S2","2709",460,5.375
"110",2016-06-23,"2","27","S2","2710",460,5.77
"111",2016-06-23,"2","27","S2","2711",460,4.465
"112",2016-06-23,"2","27","S2","2712",460,4.37
"113",2016-06-23,"2","27","S2","2713",460,4.23
"114",2016-06-23,"2","27","S2","2714",460,4.195
"115",2016-06-23,"2","27","S2","2715",460,4.325
"116",2016-06-23,"2","27","S2","2716",460,4.155
"117",2016-06-23,"2","27","S2","2717",460,4.31
"118",2016-06-23,"2","27","S2","2718",460,4.22
"119",2016-06-23,"2","27","S2","2719",460,4.17
"120",2016-06-23,"2","27","S2","2720",460,4.275
"121",2016-06-23,"3","31","S4","3101",460,5.41
"122",2016-06-23,"3","31","S4","3102",460,5.845
"123",2016-06-23,"3","31","S4","3103",460,6.065
"124",2016-06-23,"3","31","S4","3104",460,5.665
"125",2016-06-23,"3","31","S4","3105",460,6.01
"126",2016-06-23,"3","31","S4","3106",460,6.375
"127",2016-06-23,"3","31","S4","3107",460,6.125
"128",2016-06-23,"3","31","S4","3108",460,5.64
"129",2016-06-23,"3","31","S4","3109",460,5.46
"130",2016-06-23,"3","31","S4","3110",460,6.26
"131",2016-06-23,"3","31","S4","3111",460,4.58
"132",2016-06-23,"3","31","S4","3112",460,4.515
"133",2016-06-23,"3","31","S4","3113",460,4.315
"134",2016-06-23,"3","31","S4","3114",460,4.645
"135",2016-06-23,"3","31","S4","3115",460,4.57
"136",2016-06-23,"3","31","S4","3116",460,4.61
"137",2016-06-23,"3","31","S4","3117",460,4.755
"138",2016-06-23,"3","31","S4","3118",460,4.655
"139",2016-06-23,"3","31","S4","3119",460,4.8
"140",2016-06-23,"3","31","S4","3120",460,4.73
