ID,Date,Block,Plot,Rotation,Quadrat,Severity,Incidence
SDS_2016,2016-07-27,1,12,S4,1201,0,0
SDS_2016,2016-07-27,1,12,S4,1202,0,0
SDS_2016,2016-07-27,1,12,S4,1203,0,0
SDS_2016,2016-07-27,1,12,S4,1204,0,0
SDS_2016,2016-07-27,1,12,S4,1205,0,0
SDS_2016,2016-07-27,1,12,S4,1206,0,0
SDS_2016,2016-07-27,1,12,S4,1207,0,0
SDS_2016,2016-07-27,1,12,S4,1208,0,0
SDS_2016,2016-07-27,1,12,S4,1209,0,0
SDS_2016,2016-07-27,1,12,S4,1210,0,0
SDS_2016,2016-07-27,1,12,S4,1211,0,0
SDS_2016,2016-07-27,1,12,S4,1212,0,0
SDS_2016,2016-07-27,1,12,S4,1213,0,0
SDS_2016,2016-07-27,1,12,S4,1214,0,0
SDS_2016,2016-07-27,1,12,S4,1215,0,0
SDS_2016,2016-07-27,1,12,S4,1216,0,0
SDS_2016,2016-07-27,1,12,S4,1217,0,0
SDS_2016,2016-07-27,1,12,S4,1218,0,0
SDS_2016,2016-07-27,1,12,S4,1219,0,0
SDS_2016,2016-07-27,1,12,S4,1220,0,0
SDS_2016,2016-07-27,1,15,S3,1501,0,0
SDS_2016,2016-07-27,1,15,S3,1502,0,0
SDS_2016,2016-07-27,1,15,S3,1503,0,0
SDS_2016,2016-07-27,1,15,S3,1504,0,0
SDS_2016,2016-07-27,1,15,S3,1505,0,0
SDS_2016,2016-07-27,1,15,S3,1506,0,0
SDS_2016,2016-07-27,1,15,S3,1507,0,0
SDS_2016,2016-07-27,1,15,S3,1508,0,0
SDS_2016,2016-07-27,1,15,S3,1509,0,0
SDS_2016,2016-07-27,1,15,S3,1510,0,0
SDS_2016,2016-07-27,1,15,S3,1511,0,0
SDS_2016,2016-07-27,1,15,S3,1512,0,0
SDS_2016,2016-07-27,1,15,S3,1513,0,0
SDS_2016,2016-07-27,1,15,S3,1514,0,0
SDS_2016,2016-07-27,1,15,S3,1515,0,0
SDS_2016,2016-07-27,1,15,S3,1516,0,0
SDS_2016,2016-07-27,1,15,S3,1517,0,0
SDS_2016,2016-07-27,1,15,S3,1518,5,0.625
SDS_2016,2016-07-27,1,15,S3,1519,0,0
SDS_2016,2016-07-27,1,15,S3,1520,0,0
SDS_2016,2016-07-27,1,19,S2,1901,1,0.625
SDS_2016,2016-07-27,1,19,S2,1902,1,0.625
SDS_2016,2016-07-27,1,19,S2,1903,0,0
SDS_2016,2016-07-27,1,19,S2,1904,0,0
SDS_2016,2016-07-27,1,19,S2,1905,0,0
SDS_2016,2016-07-27,1,19,S2,1906,0,0
SDS_2016,2016-07-27,1,19,S2,1907,0,0
SDS_2016,2016-07-27,1,19,S2,1908,0,0
SDS_2016,2016-07-27,1,19,S2,1909,1,0.625
SDS_2016,2016-07-27,1,19,S2,1910,0,0
SDS_2016,2016-07-27,1,19,S2,1911,0,0
SDS_2016,2016-07-27,1,19,S2,1912,1,0.625
SDS_2016,2016-07-27,1,19,S2,1913,0,0
SDS_2016,2016-07-27,1,19,S2,1914,0,0
SDS_2016,2016-07-27,1,19,S2,1915,0,0
SDS_2016,2016-07-27,1,19,S2,1916,0,0
SDS_2016,2016-07-27,1,19,S2,1917,2,0.625
SDS_2016,2016-07-27,1,19,S2,1918,5,1.25
SDS_2016,2016-07-27,1,19,S2,1919,5,1.25
SDS_2016,2016-07-27,1,19,S2,1920,0,0
SDS_2016,2016-07-27,2,21,S4,2101,0,0
SDS_2016,2016-07-27,2,21,S4,2102,0,0
SDS_2016,2016-07-27,2,21,S4,2103,0,0
